"IDENTIFICADOR_NOTA_FISCAL";"NUMERO_ITEM";"CODIGO_PRODUTO";"QUANTIDADE";"VALOR_UNITARIO";"VALOR_TOTAL"
1477875419;8;59478;1;18.34;18.34
1477875419;7;28;1;71.49;71.49
1477875421;2;31450;1;2.99;2.99
1477875421;1;9519;1;2.8;2.8
1477875423;2;19926;1;1.85;1.85
1477875423;6;70743;1;11.56;11.56
1477875423;1;19926;1;1.85;1.85
1477875423;7;19725;1;10.19;10.19
1477875423;4;31376;1;8.95;8.95
1477875423;5;31376;1;8.95;8.95
1477875423;3;31376;1;8.95;8.95
1477875424;1;58517;1;7.74;7.74
1477875425;3;10152;1;27.74;27.74
1477875425;1;26893;1;21.89;21.89
1477875425;2;39317;1;14.99;14.99
1477875427;2;81699;1;83.93;83.93
1477875427;3;18795;1;82.3;82.3
1477875427;1;49625;1;10.59;10.59
1477875429;2;16998;1;9.95;9.95
1477875429;1;69560;1;5.25;5.25
1477875433;2;39002;1;6.99;6.99
1477875433;1;35831;1;7.99;7.99
1477875443;1;66363;1;2.42;2.42
1477875443;3;66363;1;2.42;2.42
1477875443;4;43381;2;2.01;4.02
1477875443;2;66363;1;2.42;2.42
1477875449;17;83262;2;5.75;11.5
1477875449;5;58517;1;8.37;8.37
1477875449;13;39271;1;2.39;2.39
1477875449;1;15645;1;10.55;10.55
1477875449;10;24378;1;45.2;45.2
1477875449;19;17617;1;49.31;49.31
1477875449;18;61755;1;1.99;1.99
1477875449;14;41767;3;5.25;15.75
1477875449;7;32152;1;6.01;6.01
1477875449;8;59568;1;3.42;3.42
1477875449;9;36799;1;16.5;16.5
1477875449;11;51324;1;39.9;39.9
1477875449;2;18316;2;6.23;12.46
1477875449;6;58517;1;8.37;8.37
1477875449;16;47859;1;16.61;16.61
1477875449;3;70623;1;20.83;20.83
1477875449;4;51895;1;34.9;34.9
1477875449;12;145;1;5.48;5.48
1477875449;15;70053;1;18.29;18.29
1477875450;2;7311;1;13.99;13.99
1477875450;1;7311;1;13.99;13.99
1477875454;1;73659;1;13.11;13.11
1477875456;2;30169;1;10.9;10.9
1477875456;1;76944;1;6.04;6.04
1477875458;1;22814;1;39.14;39.14
1477875458;2;22814;1;39.14;39.14
1477875465;2;77080;1;6.61;6.61
1477875465;1;13716;1;5.99;5.99
1477875468;1;4503;1;28.33;28.33
1477875471;1;12807;1;5.59;5.59
1477875471;2;12807;1;5.59;5.59
1477875472;1;49936;1;13.98;13.98
1477875474;1;46129;1;21.96;21.96
1477875474;2;44149;1;35.65;35.65
1477875475;2;57319;1;12.37;12.37
1477875475;1;77778;1;27.72;27.72
1477875483;1;54231;1;5.79;5.79
1477875483;2;46295;1;5.69;5.69
1477875483;3;97172;1;6.31;6.31
1477875483;4;97172;1;6.31;6.31
1477875494;1;6058;1;10.3;10.3
1477875497;4;32338;1;19.9;19.9
1477875497;1;40843;1;176.47;176.47
1477875497;3;49910;1;19.9;19.9
1477875497;2;40843;1;176.47;176.47
1477875498;1;15596;1;33.09;33.09
1477875498;2;15596;1;33.09;33.09
1477875502;1;7105;1;13.91;13.91
1477875504;1;14532;1;35.9;35.9
1477875504;2;59528;1;2.49;2.49
1477875510;1;40823;1;106.23;106.23
1477875510;5;53369;1;2;2
1477875510;4;56456;1;2;2
1477875510;2;69560;1;5.25;5.25
1477875510;3;83672;1;11.99;11.99
1477875510;7;32472;2;2.29;4.58
1477875510;6;37372;2;4.5;9
1477875530;1;64434;1;18.97;18.97
1477875531;1;49574;1;4.19;4.19
1477875531;2;59528;1;2.49;2.49
1477875531;4;36019;1;37.27;37.27
1477875531;3;42681;1;14.3;14.3
1477875532;1;8062;1;17.98;17.98
1477875540;1;23022;1;21.38;21.38
1477875542;5;14456;1;19.29;19.29
1477875542;2;16390;1;7.91;7.91
1477875542;11;35833;1;38.93;38.93
1477875542;3;16390;1;7.91;7.91
1477875542;8;31486;1;99.53;99.53
1477875542;1;57560;1;32.9;32.9
1477875542;10;35833;1;38.93;38.93
1477875542;4;61562;1;21.69;21.69
1477875542;6;31486;1;99.53;99.53
1477875542;9;35833;1;38.93;38.93
1477875542;7;31486;1;99.53;99.53
1477875543;2;55179;1;5.89;5.89
1477875543;1;43698;1;11.19;11.19
1477875544;1;24840;1;48.46;48.46
1477875547;1;21535;1;175.03;175.03
1477875547;2;38608;5;0.52;2.6
1477875550;1;14938;1;105.93;105.93
1477875550;2;80892;1;15.95;15.95
1477875550;3;51159;1;19.58;19.58
1477875552;1;40733;1;10.63;10.63
1477875552;2;19810;1;29.66;29.66
1477875552;3;36005;1;2.84;2.84
1477875553;1;30185;1;24.03;24.03
1477875554;3;28238;1;40.28;40.28
1477875554;1;31276;1;14.99;14.99
1477875554;2;10714;1;23.82;23.82
1477875557;1;14312;1;18.32;18.32
1477875563;1;41843;1;78;78
1477875571;1;19402;1;9.19;9.19
1477875575;5;32934;1;3.5;3.5
1477875575;3;32934;1;3.5;3.5
1477875575;2;65253;1;15.11;15.11
1477875575;1;1552;1;43.22;43.22
1477875575;6;36812;1;14.99;14.99
1477875575;4;32934;1;3.5;3.5
1477875576;1;54581;1;45.31;45.31
1477875577;4;77504;1;1.47;1.47
1477875577;1;87610;1;45.9;45.9
1477875577;2;38403;1;70.48;70.48
1477875577;10;28933;1;7.69;7.69
1477875577;8;1341;1;9.99;9.99
1477875577;9;98504;1;16.59;16.59
1477875577;6;20194;1;1.99;1.99
1477875577;7;20198;1;1.99;1.99
1477875577;3;21039;1;33.99;33.99
1477875577;5;77497;1;1.47;1.47
1477875581;3;31400;1;11.44;11.44
1477875581;1;60026;1;103.5;103.5
1477875581;5;53197;1;72.9;72.9
1477875581;4;39716;1;0.01;0.01
1477875581;2;1446;1;27.88;27.88
1477875586;3;601;1;5.99;5.99
1477875586;2;18101;1;2.35;2.35
1477875586;1;18101;1;2.35;2.35
1477875586;4;67869;1;5.41;5.41
1477875592;2;36410;1;34.35;34.35
1477875592;1;310;1;17.9;17.9
1477875594;1;883;1;14.49;14.49
1477875594;2;25971;1;14.6;14.6
1477875595;1;49625;1;10.59;10.59
1477875596;1;39487;1;2.11;2.11
1477875596;2;62993;1;8.29;8.29
1477875596;3;59393;1;4.99;4.99
1477875597;1;18316;2;6.23;12.46
1477875600;2;68373;1;10.39;10.39
1477875600;3;57801;1;1.99;1.99
1477875600;1;57692;1;24.69;24.69
1477875601;2;50199;1;17.19;17.19
1477875601;1;52858;1;20.82;20.82
1477875606;1;21517;1;15.19;15.19
1477875607;3;21517;1;17.6;17.6
1477875607;2;21394;1;69.56;69.56
1477875607;1;21394;1;69.56;69.56
1477875609;2;60;1;56.9;56.9
1477875609;1;27883;1;9.45;9.45
1477875610;17;50285;1;2.07;2.07
1477875610;13;61297;1;16.9;16.9
1477875610;12;45959;1;24.38;24.38
1477875610;7;14259;1;8.1;8.1
1477875610;6;63463;1;11.19;11.19
1477875610;14;30872;1;2.7;2.7
1477875610;1;1512;1;11.99;11.99
1477875610;19;70693;1;2.07;2.07
1477875610;4;45945;1;10.9;10.9
1477875610;2;1512;1;11.99;11.99
1477875610;18;70693;1;2.07;2.07
1477875610;10;31067;1;8.1;8.1
1477875610;5;63463;1;11.19;11.19
1477875610;16;50285;1;2.07;2.07
1477875610;9;46808;1;2.99;2.99
1477875610;21;51554;1;2.07;2.07
1477875610;20;51554;1;2.07;2.07
1477875610;3;45945;1;10.9;10.9
1477875610;11;99078;1;24.38;24.38
1477875610;15;8393;1;17.62;17.62
1477875610;8;46808;1;2.99;2.99
1477875611;2;36104;1;3.08;3.08
1477875611;1;36104;1;3.08;3.08
1477875611;3;36104;1;3.08;3.08
1477875612;1;45328;1;1.94;1.94
